sessionId,operatorId,scenarioId,sequencePosition,previousAction,expectedAction,responseSeconds,pauseSeconds,duplicateCount,actionValue,valveL1,feedFlow,pressureK1,pressureK2,levelK1,levelK2,temperatureFurnace,gasPercent,saltMgL,waterAfterElou,powerOk,instrumentAirOk,coolingWaterOk,ventElouOk,riskId,candidateAction,willError,riskClass,riskScore,predictedErrorLabel
synthetic-00402,operator-06,SC-06,9,alarm-K1-high,cut-fuel,69.3,65.0,0,41.4,97.9,820.7,2.88,0.47,61.8,43.3,347.1,29.2,2.23,0.121,True,True,True,False,risk-003169,protect-K2,1,HIGH,74,RESPONSE_TIME_ERROR
synthetic-00081,operator-16,SC-06,6,restore-cooling,protect-K2,24.12,12.04,0,46.9,96.3,558.6,2.82,0.36,68.9,51.6,312.4,10.7,3.92,0.083,True,True,True,True,risk-008937,protect-K2,0,LOW,10,NORMAL
synthetic-00345,operator-04,SC-08,6,alarm-K1-high,cut-fuel,120.85,72.06,0,35.7,97.3,424.0,4.61,0.46,47.3,43.4,326.8,4.3,2.67,0.124,True,True,False,True,risk-002617,protect-K1,1,MEDIUM,65,RESPONSE_TIME_ERROR
synthetic-00656,operator-01,SC-06,4,check-alarm,set-fuel-45,12.33,3.88,0,98.6,95.3,389.3,2.27,0.45,70.3,36.8,390.7,2.5,4.65,0.095,True,True,True,True,risk-001774,set-fuel,1,MEDIUM,60,PARAMETER_ERROR
synthetic-00763,operator-23,SC-08,9,open-L1,protect-K1,22.43,13.42,0,75.9,97.2,612.0,2.82,0.55,8.1,62.3,328.0,0.8,2.2,0.122,True,True,True,True,risk-005715,set-fuel,1,HIGH,86,CRITICAL_OPERATION_ERROR
synthetic-00020,operator-04,SC-12,3,start-N1,restore-ventilation,22.39,22.86,0,46.6,99.2,652.0,2.17,0.52,64.0,51.5,318.0,3.6,3.76,0.103,True,True,True,True,risk-009326,restore-ventilation,0,LOW,4,NORMAL
synthetic-00413,operator-14,SC-13,7,alarm-K1-high,protect-K1,139.36,141.71,0,48.8,99.6,654.1,4.27,0.72,73.9,39.5,343.2,11.6,3.83,0.145,True,True,False,True,risk-002936,protect-K2,1,MEDIUM,68,RESPONSE_TIME_ERROR
synthetic-00236,operator-19,SC-07,5,drain-E1,open-L1,23.83,21.49,0,41.9,21.7,247.9,2.96,0.77,43.7,42.7,307.7,4.8,4.19,0.043,True,True,True,True,risk-002142,start-N1,1,HIGH,80,SEQUENCE_ERROR
synthetic-00683,operator-17,SC-05,3,check-alarm,restore-utility-or-prepare-equipment,27.4,6.74,0,27.8,95.5,804.9,2.06,0.39,38.6,54.7,349.0,2.3,3.32,0.069,True,False,True,True,risk-004715,start-N1,1,HIGH,79,EQUIPMENT_NOT_READY
synthetic-00318,operator-03,SC-07,7,set-fuel-70,open-L1,15.7,22.97,0,43.5,20.8,174.8,2.89,0.53,63.5,41.3,328.0,6.3,4.42,0.135,True,True,True,True,risk-004192,start-N1,1,HIGH,81,SEQUENCE_ERROR
synthetic-00304,operator-12,SC-08,4,drain-E1,open-L1,26.9,13.44,0,24.6,50.8,171.1,2.02,0.38,53.4,56.7,336.8,9.5,4.21,0.133,True,True,True,True,risk-003086,start-N1,1,MEDIUM,59,SEQUENCE_ERROR
synthetic-00584,operator-22,SC-06,9,open-L1,set-fuel-45,26.77,2.85,0,91.2,99.2,411.1,1.96,0.44,63.3,73.9,394.5,4.3,4.89,0.079,True,True,True,True,risk-008939,set-fuel,1,MEDIUM,64,PARAMETER_ERROR
synthetic-00190,operator-13,SC-12,6,restore-cooling,restore-cooling,16.99,11.14,0,21.3,98.9,784.3,2.11,0.62,42.9,41.3,314.3,4.0,2.25,0.073,True,True,True,True,risk-000769,restore-cooling,0,LOW,15,NORMAL
synthetic-00711,operator-01,SC-10,5,open-L1,restore-utility-or-prepare-equipment,6.67,5.73,0,49.7,99.0,547.0,3.88,0.49,35.4,45.1,340.0,3.7,3.8,0.1,True,True,False,True,risk-000414,start-N1,1,MEDIUM,58,EQUIPMENT_NOT_READY
synthetic-00532,operator-10,SC-06,8,restore-cooling,check-process-state,8.52,2.6,4,45.7,96.2,529.5,2.34,0.36,63.7,49.6,336.8,2.0,4.65,0.117,True,True,True,True,risk-009617,restore-cooling,1,MEDIUM,54,DUPLICATE_COMMAND
synthetic-00405,operator-10,SC-10,12,alarm-K1-high,restore-cooling,108.03,146.06,0,52.8,99.8,565.7,2.63,0.64,48.9,74.2,325.2,26.2,3.13,0.085,True,True,True,False,risk-004457,set-fuel,1,MEDIUM,66,RESPONSE_TIME_ERROR
synthetic-00431,operator-15,SC-01,11,alarm-K1-high,cut-fuel,113.96,93.52,0,23.0,99.4,725.5,4.52,0.4,70.9,37.6,321.3,11.8,3.0,0.105,True,True,False,True,risk-008550,set-fuel,1,HIGH,82,RESPONSE_TIME_ERROR
synthetic-00333,operator-08,SC-07,11,drain-E1,open-L1,22.61,24.48,0,47.8,11.5,169.8,2.51,0.56,45.2,71.8,312.2,8.3,3.38,0.111,True,True,True,True,risk-005491,start-N1,1,HIGH,79,SEQUENCE_ERROR
synthetic-00532,operator-16,SC-08,3,start-N1,check-process-state,16.33,1.83,5,54.1,99.3,732.4,2.63,0.68,57.8,71.7,341.0,6.2,3.88,0.063,True,True,True,True,risk-001851,start-N1,1,MEDIUM,35,DUPLICATE_COMMAND
synthetic-00487,operator-20,SC-10,9,set-fuel-45,check-process-state,15.3,1.01,2,52.0,99.0,525.7,2.25,0.48,58.1,59.4,328.0,4.8,4.62,0.063,True,True,True,True,risk-005246,set-fuel-45,1,MEDIUM,50,DUPLICATE_COMMAND
synthetic-00631,operator-10,SC-08,1,open-L1,set-fuel-45,10.0,5.89,0,97.0,99.9,322.6,4.11,0.42,60.4,41.6,425.6,5.6,2.37,0.06,True,True,True,True,risk-005822,set-fuel,1,MEDIUM,58,PARAMETER_ERROR
synthetic-00162,operator-20,SC-10,10,restore-cooling,restore-cooling,6.93,14.22,0,28.4,99.0,697.5,2.69,0.59,52.7,70.3,353.7,11.0,2.07,0.097,True,True,True,True,risk-005107,restore-cooling,0,LOW,19,NORMAL
synthetic-00308,operator-04,SC-07,3,check-alarm,open-L1,7.75,9.9,0,38.5,63.6,198.0,1.99,0.77,45.3,65.7,347.7,5.8,4.68,0.125,True,True,True,True,risk-002088,start-N1,1,HIGH,73,SEQUENCE_ERROR
synthetic-00246,operator-18,SC-12,6,set-fuel-70,open-L1,16.36,13.67,0,32.3,4.2,143.7,2.48,0.74,43.2,73.3,300.7,3.2,4.69,0.092,True,True,True,True,risk-001455,start-N1,1,HIGH,82,SEQUENCE_ERROR
synthetic-00314,operator-11,SC-14,10,drain-E1,open-L1,7.12,20.62,0,26.7,20.0,105.1,3.15,0.36,39.4,37.8,343.3,11.4,4.67,0.071,True,True,True,True,risk-001574,start-N1,1,MEDIUM,59,SEQUENCE_ERROR
synthetic-00520,operator-10,SC-08,4,restore-cooling,check-process-state,26.11,1.97,4,53.0,97.3,548.8,2.0,0.52,62.7,40.3,307.6,4.5,4.09,0.116,True,True,True,True,risk-009362,restore-cooling,1,MEDIUM,46,DUPLICATE_COMMAND
synthetic-00353,operator-21,SC-07,6,alarm-K1-high,protect-K1,146.35,94.09,0,46.8,95.7,736.3,4.55,0.59,37.4,46.8,316.2,10.6,4.32,0.136,True,True,False,True,risk-005424,protect-K2,1,MEDIUM,60,RESPONSE_TIME_ERROR
synthetic-00608,operator-08,SC-07,5,set-fuel-45,set-fuel-45,27.7,17.92,0,99.4,96.6,169.7,2.69,0.42,53.8,52.1,389.7,3.1,3.05,0.105,True,True,True,True,risk-004704,set-fuel,1,HIGH,70,PARAMETER_ERROR
synthetic-00035,operator-02,SC-07,5,check-alarm,protect-K1,18.18,6.78,0,52.9,96.7,893.6,3.01,0.47,36.7,63.8,336.0,9.1,3.34,0.117,True,True,True,True,risk-006094,protect-K1,0,LOW,18,NORMAL
synthetic-00302,operator-23,SC-10,6,drain-E1,open-L1,27.72,5.21,0,42.0,36.5,141.5,2.76,0.67,63.6,48.9,350.8,7.7,3.24,0.045,True,True,True,True,risk-006668,start-N1,1,HIGH,82,SEQUENCE_ERROR
synthetic-00006,operator-03,SC-10,10,start-N1,start-N2,18.45,17.42,0,31.7,96.6,660.8,3.14,0.77,47.2,52.6,322.1,8.9,4.43,0.136,True,True,True,True,risk-000174,start-N2,0,LOW,17,NORMAL
synthetic-00543,operator-20,SC-14,2,check-alarm,set-fuel-45,6.85,22.39,0,99.6,99.8,361.1,4.38,0.74,52.5,60.3,384.9,5.6,3.33,0.058,True,True,True,True,risk-006137,set-fuel,1,HIGH,74,PARAMETER_ERROR
synthetic-00815,operator-05,SC-07,6,check-alarm,restore-ventilation,18.25,18.24,0,49.5,97.3,616.5,3.06,0.38,56.0,56.2,330.4,20.4,4.09,0.137,True,True,True,False,risk-005793,disable-ventilation,1,HIGH,84,CRITICAL_OPERATION_ERROR
synthetic-00734,operator-12,SC-08,11,open-L1,restore-utility-or-prepare-equipment,22.14,20.5,0,31.7,57.7,447.4,2.85,0.6,38.0,54.7,339.7,3.1,4.48,0.115,True,True,True,True,risk-008490,start-N1,1,HIGH,71,EQUIPMENT_NOT_READY
synthetic-00021,operator-23,SC-08,12,restore-cooling,restore-cooling,11.56,18.55,0,38.3,99.7,602.3,2.6,0.53,73.3,67.2,337.1,6.7,4.94,0.127,True,True,True,True,risk-001303,restore-cooling,0,LOW,22,NORMAL
synthetic-00546,operator-09,SC-12,3,set-fuel-45,set-fuel-45,23.34,12.49,0,88.9,99.6,289.3,4.71,0.75,54.4,44.2,412.1,10.5,4.96,0.07,True,True,True,True,risk-000872,set-fuel,1,HIGH,77,PARAMETER_ERROR
synthetic-00689,operator-15,SC-06,3,start-N1,restore-utility-or-prepare-equipment,21.41,10.43,0,54.5,96.4,790.7,1.84,0.39,50.4,44.4,331.9,1.8,3.38,0.128,False,True,True,True,risk-007638,set-fuel,1,MEDIUM,59,EQUIPMENT_NOT_READY
synthetic-00043,operator-01,SC-01,1,open-L1,restore-cooling,18.9,2.59,0,28.5,98.6,775.7,2.15,0.6,37.0,71.3,303.2,3.3,4.31,0.083,True,True,True,True,risk-007116,restore-cooling,0,LOW,3,NORMAL
synthetic-00461,operator-22,SC-01,10,restore-cooling,check-process-state,20.74,2.35,4,47.4,99.6,593.7,1.93,0.61,45.9,53.4,348.5,2.2,3.3,0.049,True,True,True,True,risk-003250,restore-cooling,1,MEDIUM,47,DUPLICATE_COMMAND
synthetic-00314,operator-17,SC-13,6,check-alarm,open-L1,13.36,14.32,0,36.3,15.1,124.0,2.19,0.73,39.9,74.7,328.8,5.5,3.72,0.117,True,True,True,True,risk-005497,start-N1,1,MEDIUM,62,SEQUENCE_ERROR
synthetic-00286,operator-18,SC-14,7,set-fuel-70,open-L1,14.81,21.46,0,45.5,57.7,16.6,2.16,0.6,35.1,68.0,340.9,2.0,4.64,0.058,True,True,True,True,risk-008760,start-N1,1,HIGH,82,SEQUENCE_ERROR
synthetic-00479,operator-08,SC-12,10,start-N1,check-process-state,4.37,1.86,3,50.4,97.2,798.2,2.34,0.59,48.6,64.8,317.6,1.3,3.81,0.05,True,True,True,True,risk-004481,start-N1,1,MEDIUM,36,DUPLICATE_COMMAND
synthetic-00532,operator-14,SC-14,1,set-fuel-45,check-process-state,27.56,0.56,3,47.7,98.5,777.6,3.13,0.78,35.0,66.0,332.5,11.7,3.89,0.149,True,True,True,True,risk-002977,set-fuel-45,1,MEDIUM,43,DUPLICATE_COMMAND
synthetic-00722,operator-24,SC-10,10,start-N1,restore-utility-or-prepare-equipment,5.51,2.98,0,44.3,99.0,546.7,4.44,0.73,63.1,52.2,352.7,4.7,3.23,0.118,True,True,False,True,risk-006664,start-N2,1,HIGH,73,EQUIPMENT_NOT_READY
synthetic-00767,operator-12,SC-06,12,restore-cooling,restore-ventilation,22.5,11.73,0,32.4,96.1,740.9,2.83,0.65,70.9,45.5,342.4,32.6,4.74,0.109,True,True,True,False,risk-004541,disable-ventilation,1,HIGH,88,CRITICAL_OPERATION_ERROR
synthetic-00398,operator-01,SC-07,10,alarm-K1-high,cut-fuel,91.06,127.93,0,30.4,97.1,823.6,4.25,0.37,70.2,39.4,303.2,11.8,4.04,0.114,True,True,False,True,risk-000214,toggle-electric-field,1,MEDIUM,66,RESPONSE_TIME_ERROR
synthetic-00727,operator-24,SC-07,6,open-L1,restore-utility-or-prepare-equipment,27.36,17.23,0,21.5,97.8,816.2,2.45,0.4,50.9,67.2,327.5,6.1,3.29,0.047,True,False,True,True,risk-003975,start-N1,1,HIGH,73,EQUIPMENT_NOT_READY
synthetic-00348,operator-18,SC-08,12,alarm-K1-high,restore-cooling,63.83,83.84,0,20.8,96.3,551.1,2.14,0.74,41.7,60.4,351.9,20.0,2.51,0.097,True,True,True,False,risk-008662,set-fuel,1,MEDIUM,62,RESPONSE_TIME_ERROR
synthetic-00297,operator-18,SC-13,10,check-alarm,open-L1,22.93,17.21,0,27.7,59.2,52.7,2.45,0.37,42.0,53.9,338.7,8.0,3.31,0.135,True,True,True,True,risk-004139,start-N1,1,MEDIUM,55,SEQUENCE_ERROR
synthetic-00139,operator-06,SC-08,4,start-N1,protect-K2,23.45,22.2,0,42.0,97.1,546.5,2.39,0.74,58.7,64.6,338.7,2.4,3.41,0.15,True,True,True,True,risk-009522,protect-K2,0,LOW,11,NORMAL
synthetic-00805,operator-10,SC-06,12,check-alarm,protect-K1,10.46,2.7,0,81.3,97.7,444.6,2.96,0.71,8.9,43.7,317.0,1.0,3.85,0.135,True,True,True,True,risk-004588,set-fuel,1,HIGH,87,CRITICAL_OPERATION_ERROR
synthetic-00767,operator-15,SC-10,4,set-fuel-45,protect-K2,17.38,10.26,0,70.5,99.0,501.9,2.86,0.37,37.2,6.5,348.8,11.3,2.01,0.143,True,True,True,True,risk-008380,set-fuel,1,HIGH,95,CRITICAL_OPERATION_ERROR
synthetic-00495,operator-11,SC-01,4,restore-cooling,check-process-state,25.37,1.23,4,31.0,95.0,599.2,2.27,0.56,37.8,70.3,348.9,3.4,3.39,0.099,True,True,True,True,risk-004596,restore-cooling,1,MEDIUM,49,DUPLICATE_COMMAND
synthetic-00220,operator-23,SC-05,2,check-alarm,open-L1,10.87,15.25,0,22.7,83.0,19.2,3.08,0.6,47.6,48.7,334.3,0.3,2.04,0.069,True,True,True,True,risk-004942,start-N1,1,HIGH,78,SEQUENCE_ERROR
synthetic-00469,operator-22,SC-12,10,toggle-electric-field,check-process-state,12.09,1.54,2,53.3,96.9,872.1,2.62,0.62,55.5,45.4,327.8,3.9,2.52,0.077,True,True,True,True,risk-008231,toggle-electric-field,1,MEDIUM,48,DUPLICATE_COMMAND
synthetic-00087,operator-06,SC-14,4,set-fuel-45,protect-K1,5.14,18.19,0,27.4,96.8,671.6,2.25,0.73,48.7,66.5,349.8,9.7,3.82,0.095,True,True,True,True,risk-003215,protect-K1,0,LOW,3,NORMAL
synthetic-00120,operator-18,SC-06,2,open-L1,set-fuel,6.78,9.08,0,23.4,95.8,724.0,3.2,0.57,42.1,74.4,312.7,6.8,4.38,0.105,True,True,True,True,risk-009225,set-fuel,0,LOW,2,NORMAL
synthetic-00457,operator-14,SC-07,7,alarm-K1-high,cut-fuel,127.79,112.97,0,46.4,99.7,580.2,4.27,0.45,44.2,42.7,314.3,2.3,4.02,0.056,True,True,False,True,risk-002173,start-N1,1,MEDIUM,68,RESPONSE_TIME_ERROR
synthetic-00176,operator-16,SC-10,10,set-fuel-45,start-N1,12.78,8.7,0,32.6,99.9,742.9,2.16,0.69,43.4,55.8,309.7,2.6,3.2,0.069,True,True,True,True,risk-009186,start-N1,0,LOW,3,NORMAL
synthetic-00089,operator-20,SC-13,4,start-N1,toggle-electric-field,19.42,15.78,0,24.1,97.6,524.0,2.3,0.35,41.0,65.1,317.1,11.1,4.61,0.1,True,True,True,True,risk-004553,toggle-electric-field,0,LOW,14,NORMAL
synthetic-00666,operator-01,SC-01,9,set-fuel-45,set-fuel-45,6.28,15.45,0,73.8,98.0,129.9,1.85,0.66,56.2,51.9,386.5,5.1,3.21,0.105,True,True,True,True,risk-000754,set-fuel,1,MEDIUM,62,PARAMETER_ERROR
synthetic-00752,operator-15,SC-05,7,open-L1,protect-K1,13.59,7.38,0,52.1,99.2,512.3,2.24,0.35,14.0,73.4,320.1,5.5,2.36,0.116,True,True,True,True,risk-004571,set-fuel,1,HIGH,86,CRITICAL_OPERATION_ERROR
synthetic-00062,operator-05,SC-10,10,set-fuel-45,restore-ventilation,7.4,18.35,0,35.1,99.4,603.9,1.82,0.41,38.1,67.7,314.4,3.2,3.32,0.094,True,True,True,True,risk-001261,restore-ventilation,0,LOW,2,NORMAL
synthetic-00425,operator-11,SC-01,6,alarm-K1-high,protect-K1,137.72,115.25,0,49.6,95.5,700.8,4.29,0.36,59.9,43.5,311.0,8.2,2.35,0.096,True,True,False,True,risk-005882,start-N2,1,MEDIUM,66,RESPONSE_TIME_ERROR
synthetic-00110,operator-07,SC-13,7,set-fuel-45,protect-K1,22.63,19.16,0,51.7,98.8,433.5,2.6,0.63,40.8,37.6,321.0,5.6,4.18,0.144,True,True,True,True,risk-002974,protect-K1,0,LOW,22,NORMAL
synthetic-00289,operator-18,SC-08,10,set-fuel-70,open-L1,25.14,16.07,0,36.1,73.5,59.6,2.37,0.78,50.4,72.0,323.0,7.5,2.51,0.093,True,True,True,True,risk-004593,start-N1,1,MEDIUM,55,SEQUENCE_ERROR
synthetic-00704,operator-12,SC-08,1,check-alarm,restore-utility-or-prepare-equipment,5.33,18.83,0,48.2,95.3,596.6,3.17,0.76,50.1,65.3,326.0,0.4,4.27,0.046,False,True,True,True,risk-000463,start-N1,1,MEDIUM,59,EQUIPMENT_NOT_READY
synthetic-00707,operator-15,SC-08,1,open-L1,restore-utility-or-prepare-equipment,17.66,17.39,0,20.8,96.6,607.3,2.97,0.77,63.1,47.9,341.3,11.8,4.35,0.054,False,True,True,True,risk-008922,set-fuel,1,MEDIUM,56,EQUIPMENT_NOT_READY
synthetic-00115,operator-01,SC-08,6,set-fuel-45,set-fuel,16.28,22.07,0,53.6,99.0,543.1,2.15,0.64,72.6,70.9,304.1,9.3,4.96,0.103,True,True,True,True,risk-009058,set-fuel,0,LOW,19,NORMAL
synthetic-00714,operator-18,SC-08,5,start-N1,restore-utility-or-prepare-equipment,6.05,8.81,0,50.9,39.8,893.4,2.32,0.74,36.9,72.2,324.9,6.1,2.05,0.146,True,True,True,True,risk-000370,set-fuel,1,HIGH,71,EQUIPMENT_NOT_READY
synthetic-00052,operator-09,SC-06,8,start-N1,start-N1,20.73,9.84,0,33.1,98.6,876.9,2.77,0.52,48.1,43.8,306.1,8.5,4.58,0.092,True,True,True,True,risk-002427,start-N1,0,LOW,1,NORMAL
synthetic-00826,operator-20,SC-10,2,open-L1,restore-circulation-and-reduce-fuel,25.74,13.39,0,86.7,98.7,87.7,2.57,0.7,59.4,54.4,423.7,6.6,2.23,0.074,True,True,True,True,risk-004498,set-fuel,1,HIGH,90,CRITICAL_OPERATION_ERROR
synthetic-00662,operator-06,SC-01,10,restore-cooling,set-fuel-45,11.4,20.69,0,84.1,97.1,319.2,2.98,0.37,53.2,54.8,396.6,9.8,3.66,0.059,True,True,True,True,risk-000989,set-fuel,1,HIGH,75,PARAMETER_ERROR
synthetic-00632,operator-07,SC-07,5,start-N1,set-fuel-45,22.16,8.25,0,82.7,98.9,103.4,4.23,0.48,46.5,55.9,415.1,5.0,3.35,0.074,True,True,True,True,risk-004566,set-fuel,1,MEDIUM,60,PARAMETER_ERROR
synthetic-00440,operator-08,SC-01,1,alarm-K1-high,restore-cooling,117.99,112.09,0,29.5,98.9,524.3,4.06,0.58,47.3,42.0,339.8,2.3,4.53,0.093,True,True,False,True,risk-004950,protect-K1,1,MEDIUM,66,RESPONSE_TIME_ERROR
synthetic-00638,operator-18,SC-06,2,check-alarm,set-fuel-45,25.86,23.1,0,77.7,97.4,152.1,2.72,0.68,57.0,52.3,375.6,9.0,2.86,0.081,True,True,True,True,risk-007584,set-fuel,1,MEDIUM,56,PARAMETER_ERROR
synthetic-00036,operator-05,SC-14,10,restore-cooling,toggle-electric-field,21.66,11.37,0,30.0,95.8,486.6,2.97,0.73,43.5,52.1,345.1,7.2,3.37,0.056,True,True,True,True,risk-005398,toggle-electric-field,0,LOW,20,NORMAL
synthetic-00514,operator-24,SC-07,4,toggle-electric-field,check-process-state,14.33,0.39,5,26.0,98.5,443.2,2.28,0.51,67.9,74.3,322.8,11.1,4.0,0.068,True,True,True,True,risk-003253,toggle-electric-field,1,MEDIUM,36,DUPLICATE_COMMAND
synthetic-00187,operator-20,SC-14,3,restore-cooling,start-N2,12.85,21.2,0,38.8,97.6,534.4,2.83,0.38,39.5,56.6,329.4,7.6,3.1,0.085,True,True,True,True,risk-002106,start-N2,0,LOW,19,NORMAL
synthetic-00377,operator-07,SC-06,7,alarm-K1-high,restore-cooling,108.25,127.11,0,41.2,97.3,432.3,2.7,0.51,43.6,39.7,334.4,23.8,4.09,0.064,True,True,True,False,risk-003262,set-fuel,1,HIGH,76,RESPONSE_TIME_ERROR
synthetic-00711,operator-18,SC-06,3,set-fuel-45,restore-utility-or-prepare-equipment,6.64,10.94,0,38.9,95.7,531.7,2.31,0.71,64.7,51.9,341.3,7.3,4.74,0.067,True,False,True,True,risk-002975,set-fuel,1,MEDIUM,65,EQUIPMENT_NOT_READY
synthetic-00291,operator-22,SC-01,9,drain-E1,open-L1,15.72,21.88,0,27.5,26.7,0.4,2.24,0.59,55.0,70.7,302.8,2.5,2.15,0.133,True,True,True,True,risk-001031,start-N1,1,HIGH,80,SEQUENCE_ERROR
synthetic-00053,operator-20,SC-14,6,start-N1,restore-cooling,6.64,24.59,0,33.5,96.7,766.8,3.17,0.6,70.6,43.5,305.9,5.1,2.79,0.108,True,True,True,True,risk-007483,restore-cooling,0,LOW,12,NORMAL
synthetic-00689,operator-01,SC-01,5,restore-cooling,restore-utility-or-prepare-equipment,25.78,8.59,0,39.1,46.9,536.3,3.1,0.5,73.1,53.6,341.3,2.4,2.28,0.137,True,True,True,True,risk-003542,start-N1,1,HIGH,71,EQUIPMENT_NOT_READY
synthetic-00189,operator-03,SC-08,7,check-alarm,restore-ventilation,7.48,7.24,0,32.3,99.1,792.1,2.03,0.64,44.0,47.1,325.0,5.9,4.47,0.134,True,True,True,True,risk-004526,restore-ventilation,0,LOW,22,NORMAL
synthetic-00346,operator-22,SC-08,8,alarm-K1-high,restore-cooling,109.18,143.49,0,49.6,99.5,578.9,4.63,0.76,56.6,45.1,329.3,7.6,3.0,0.085,True,True,False,True,risk-006019,restore-ventilation,1,MEDIUM,69,RESPONSE_TIME_ERROR
synthetic-00241,operator-21,SC-10,9,check-alarm,open-L1,14.11,8.19,0,40.6,67.2,231.4,2.3,0.65,73.0,49.4,345.3,10.5,2.74,0.113,True,True,True,True,risk-008430,start-N1,1,MEDIUM,66,SEQUENCE_ERROR
synthetic-00769,operator-22,SC-12,9,start-N1,restore-circulation-and-reduce-fuel,4.36,6.86,0,83.7,96.5,2.9,2.41,0.5,72.5,44.7,419.7,2.3,2.39,0.131,True,True,True,True,risk-009402,set-fuel,1,HIGH,92,CRITICAL_OPERATION_ERROR
