sessionId,operatorId,scenarioId,sequencePosition,action,previousAction,expectedAction,responseSeconds,pauseSeconds,duplicateCount,actionValue,valveL1,feedFlow,pressureK1,pressureK2,levelK1,levelK2,temperatureFurnace,gasPercent,saltMgL,waterAfterElou,powerOk,instrumentAirOk,coolingWaterOk,ventElouOk,label
synthetic-00084,operator-04,SC-12,5,protect-K2,start-N1,protect-K2,8.6,15.06,0,51.0,95.5,719.1,3.17,0.78,74.4,44.1,306.7,10.3,2.62,0.112,True,True,True,True,NORMAL
synthetic-00432,operator-04,SC-05,9,protect-K2,alarm-K1-high,cut-fuel,122.43,69.31,0,26.0,96.7,691.4,2.4,0.73,50.6,47.9,317.8,26.7,3.34,0.048,True,True,True,False,RESPONSE_TIME_ERROR
synthetic-00060,operator-19,SC-01,8,start-N1,restore-cooling,start-N1,7.76,18.07,0,42.3,99.6,821.0,2.78,0.39,52.3,64.0,319.4,3.1,2.9,0.128,True,True,True,True,NORMAL
synthetic-00111,operator-17,SC-13,10,toggle-electric-field,start-N1,toggle-electric-field,16.51,23.07,0,48.6,99.0,482.4,2.39,0.37,52.7,50.9,318.3,1.9,3.29,0.058,True,True,True,True,NORMAL
synthetic-00340,operator-22,SC-05,9,restore-ventilation,alarm-K1-high,restore-cooling,117.82,80.07,0,32.8,98.7,854.1,4.1,0.4,51.3,35.2,335.5,10.5,2.57,0.137,True,True,False,True,RESPONSE_TIME_ERROR
synthetic-00237,operator-18,SC-01,4,start-N1,check-alarm,open-L1,23.87,16.23,0,32.2,21.2,275.2,2.18,0.68,45.3,70.4,351.1,2.9,4.88,0.115,True,True,True,True,SEQUENCE_ERROR
synthetic-00473,operator-03,SC-10,7,restore-cooling,restore-cooling,check-process-state,23.11,1.67,4,53.4,96.1,707.3,2.68,0.69,60.8,65.9,349.1,11.7,4.14,0.125,True,True,True,True,DUPLICATE_COMMAND
synthetic-00778,operator-10,SC-13,2,set-fuel,restore-cooling,protect-K1,18.43,4.14,0,62.5,95.1,685.6,3.02,0.63,11.9,72.0,342.6,7.9,3.48,0.112,True,True,True,True,CRITICAL_OPERATION_ERROR
synthetic-00073,operator-16,SC-14,11,start-N2,open-L1,start-N2,14.85,6.66,0,38.9,96.2,751.2,2.2,0.58,55.4,59.1,328.2,12.0,2.37,0.127,True,True,True,True,NORMAL
synthetic-00361,operator-05,SC-05,10,restore-ventilation,alarm-K1-high,protect-K1,101.17,113.55,0,26.2,95.8,681.6,4.61,0.56,42.5,36.3,330.4,6.8,2.38,0.067,True,True,False,True,RESPONSE_TIME_ERROR
synthetic-00346,operator-11,SC-06,11,toggle-electric-field,alarm-K1-high,cut-fuel,123.91,88.11,0,35.4,96.5,876.8,4.25,0.76,55.4,46.7,316.2,8.9,4.89,0.104,True,True,False,True,RESPONSE_TIME_ERROR
synthetic-00245,operator-14,SC-12,1,start-N1,drain-E1,open-L1,9.48,13.13,0,41.7,18.2,151.2,3.18,0.76,53.9,48.3,330.9,0.3,3.99,0.071,True,True,True,True,SEQUENCE_ERROR
synthetic-00321,operator-04,SC-07,12,start-N1,drain-E1,open-L1,6.45,2.24,0,27.8,25.5,37.5,2.2,0.44,58.9,65.1,332.4,3.4,4.35,0.098,True,True,True,True,SEQUENCE_ERROR
synthetic-00301,operator-01,SC-08,11,start-N1,drain-E1,open-L1,24.43,8.04,0,31.1,3.2,107.4,3.14,0.37,42.2,45.1,325.8,7.5,4.9,0.095,True,True,True,True,SEQUENCE_ERROR
synthetic-00071,operator-11,SC-12,3,start-N2,start-N1,start-N2,14.74,24.46,0,33.2,98.5,724.9,2.19,0.74,69.4,68.6,304.2,1.4,4.02,0.041,True,True,True,True,NORMAL
synthetic-00133,operator-12,SC-12,12,toggle-electric-field,start-N1,toggle-electric-field,23.48,16.08,0,38.3,97.9,711.7,3.08,0.69,53.3,56.3,350.9,8.0,3.37,0.043,True,True,True,True,NORMAL
synthetic-00040,operator-17,SC-05,8,start-N2,restore-cooling,start-N2,27.65,17.0,0,37.0,97.3,885.3,2.04,0.61,36.5,49.0,341.4,8.2,2.84,0.137,True,True,True,True,NORMAL
synthetic-00388,operator-07,SC-06,5,start-N2,alarm-K1-high,protect-K1,62.6,67.23,0,27.9,99.2,609.0,2.3,0.57,61.4,42.5,303.0,18.2,3.4,0.099,True,True,True,False,RESPONSE_TIME_ERROR
synthetic-00576,operator-23,SC-14,1,set-fuel,set-fuel-45,set-fuel-45,12.43,4.31,0,91.8,97.6,159.2,2.61,0.67,63.9,66.3,400.6,4.3,2.25,0.127,True,True,True,True,PARAMETER_ERROR
synthetic-00308,operator-08,SC-08,2,start-N1,drain-E1,open-L1,13.8,10.65,0,43.1,34.8,279.4,2.82,0.66,62.2,37.0,352.0,8.9,2.56,0.061,True,True,True,True,SEQUENCE_ERROR
synthetic-00423,operator-03,SC-08,10,restore-cooling,alarm-K1-high,protect-K1,65.39,117.49,0,33.2,97.6,766.8,2.9,0.53,50.9,46.9,302.2,26.3,4.91,0.076,True,True,True,False,RESPONSE_TIME_ERROR
synthetic-00003,operator-15,SC-08,12,protect-K2,open-L1,protect-K2,9.51,7.02,0,51.8,95.9,771.9,2.21,0.57,68.4,50.5,339.9,7.8,4.89,0.092,True,True,True,True,NORMAL
synthetic-00284,operator-20,SC-10,11,start-N1,check-alarm,open-L1,7.57,17.95,0,48.6,77.8,274.7,2.27,0.39,51.9,52.1,316.3,6.5,4.85,0.121,True,True,True,True,SEQUENCE_ERROR
synthetic-00637,operator-02,SC-06,8,set-fuel,open-L1,set-fuel-45,5.99,23.38,0,77.7,99.7,362.7,2.46,0.37,63.1,35.4,418.5,0.8,3.38,0.093,True,True,True,True,PARAMETER_ERROR
synthetic-00597,operator-05,SC-01,6,set-fuel,open-L1,set-fuel-45,19.64,13.33,0,86.8,98.6,318.2,2.22,0.59,40.0,42.1,390.0,7.7,4.24,0.066,True,True,True,True,PARAMETER_ERROR
synthetic-00510,operator-21,SC-14,7,restore-cooling,restore-cooling,check-process-state,22.88,0.82,3,29.2,99.3,560.2,2.38,0.53,42.5,60.0,353.9,6.2,3.0,0.138,True,True,True,True,DUPLICATE_COMMAND
synthetic-00595,operator-24,SC-06,9,set-fuel,set-fuel-45,set-fuel-45,26.07,7.41,0,81.0,97.3,208.7,2.78,0.52,36.1,39.4,386.4,6.2,3.13,0.142,True,True,True,True,PARAMETER_ERROR
synthetic-00353,operator-16,SC-12,4,restore-cooling,alarm-K1-high,restore-cooling,75.69,74.66,0,28.1,98.6,581.1,3.19,0.79,59.4,53.7,340.8,28.0,4.21,0.067,True,True,True,False,RESPONSE_TIME_ERROR
synthetic-00785,operator-08,SC-01,6,disable-ventilation,restore-cooling,restore-ventilation,4.38,12.81,0,36.7,97.7,881.6,2.72,0.35,62.6,51.0,321.7,19.3,4.51,0.139,True,True,True,False,CRITICAL_OPERATION_ERROR
synthetic-00552,operator-10,SC-05,11,set-fuel,start-N1,set-fuel-45,17.31,15.82,0,99.1,98.3,165.0,4.63,0.71,52.9,63.3,390.6,7.7,3.34,0.131,True,True,True,True,PARAMETER_ERROR
synthetic-00831,operator-20,SC-05,9,set-fuel,start-N1,protect-K1,7.85,3.08,0,58.8,99.4,809.3,2.32,0.43,12.5,72.8,320.5,11.5,3.74,0.104,True,True,True,True,CRITICAL_OPERATION_ERROR
synthetic-00350,operator-01,SC-08,12,protect-K2,alarm-K1-high,protect-K1,104.63,147.45,0,25.1,100.0,842.3,2.95,0.38,51.4,71.2,309.5,20.9,3.7,0.05,True,True,True,False,RESPONSE_TIME_ERROR
synthetic-00766,operator-22,SC-06,3,disable-ventilation,check-alarm,restore-ventilation,8.85,23.14,0,49.6,97.9,840.3,2.12,0.38,67.8,71.6,334.4,23.5,2.88,0.092,True,True,True,False,CRITICAL_OPERATION_ERROR
synthetic-00338,operator-20,SC-12,12,start-N2,alarm-K1-high,restore-cooling,83.17,94.96,0,25.9,97.2,897.0,4.28,0.76,48.0,59.0,320.6,9.1,2.3,0.111,True,True,False,True,RESPONSE_TIME_ERROR
synthetic-00796,operator-08,SC-12,2,disable-ventilation,start-N1,restore-ventilation,21.66,9.85,0,25.4,96.3,496.8,2.89,0.48,38.4,65.9,316.8,17.5,2.89,0.087,True,True,True,False,CRITICAL_OPERATION_ERROR
synthetic-00248,operator-13,SC-01,3,start-N1,check-alarm,open-L1,5.83,12.64,0,21.2,11.0,142.6,1.84,0.57,66.5,60.6,319.5,9.1,3.4,0.138,True,True,True,True,SEQUENCE_ERROR
synthetic-00432,operator-21,SC-10,10,set-fuel,alarm-K1-high,restore-cooling,125.83,105.38,0,33.3,96.2,516.2,2.02,0.73,73.8,60.1,314.9,22.2,4.37,0.131,True,True,True,False,RESPONSE_TIME_ERROR
synthetic-00048,operator-21,SC-13,12,restore-ventilation,check-alarm,restore-ventilation,15.9,7.05,0,46.4,97.2,751.4,2.98,0.66,71.1,43.7,317.7,4.2,4.71,0.086,True,True,True,True,NORMAL
synthetic-00542,operator-23,SC-10,5,start-N1,start-N1,check-process-state,17.08,1.76,5,50.2,99.4,445.1,2.29,0.8,59.9,51.3,328.4,4.5,4.7,0.042,True,True,True,True,DUPLICATE_COMMAND
synthetic-00225,operator-12,SC-14,6,start-N1,drain-E1,open-L1,6.18,20.86,0,47.7,29.3,92.0,2.49,0.62,71.9,42.8,314.4,6.5,3.99,0.067,True,True,True,True,SEQUENCE_ERROR
synthetic-00300,operator-10,SC-05,7,start-N1,drain-E1,open-L1,25.65,7.41,0,21.7,8.3,100.7,2.71,0.79,49.6,50.1,320.7,2.5,3.68,0.116,True,True,True,True,SEQUENCE_ERROR
synthetic-00185,operator-17,SC-07,3,protect-K2,start-N1,protect-K2,7.04,23.7,0,30.6,99.7,536.0,2.32,0.6,58.0,65.3,323.7,4.0,4.01,0.145,True,True,True,True,NORMAL
synthetic-00131,operator-18,SC-07,5,set-fuel,restore-cooling,set-fuel,22.43,2.95,0,51.8,99.2,500.8,2.16,0.45,73.6,56.8,303.9,5.8,2.76,0.056,True,True,True,True,NORMAL
synthetic-00032,operator-04,SC-12,5,protect-K1,start-N1,protect-K1,27.5,12.48,0,40.2,98.2,534.3,2.43,0.53,38.5,58.1,353.5,6.5,4.02,0.058,True,True,True,True,NORMAL
synthetic-00542,operator-07,SC-05,11,set-fuel,restore-cooling,set-fuel-45,6.83,12.95,0,87.3,97.4,298.0,4.11,0.58,44.4,66.2,390.5,11.3,4.18,0.12,True,True,True,True,PARAMETER_ERROR
synthetic-00652,operator-16,SC-07,1,set-fuel,set-fuel-45,set-fuel-45,9.64,9.26,0,81.7,99.1,212.1,2.53,0.67,44.1,38.0,389.8,3.2,4.03,0.134,True,True,True,True,PARAMETER_ERROR
synthetic-00749,operator-22,SC-12,10,start-N1,restore-cooling,restore-utility-or-prepare-equipment,12.58,13.31,0,41.6,98.0,680.6,2.98,0.69,49.4,45.1,310.0,6.7,2.1,0.093,False,True,True,True,EQUIPMENT_NOT_READY
synthetic-00423,operator-21,SC-12,6,start-N1,alarm-K1-high,protect-K1,131.31,134.9,0,47.0,96.8,573.2,2.15,0.58,73.6,68.5,328.3,24.8,2.02,0.081,True,True,True,False,RESPONSE_TIME_ERROR
synthetic-00102,operator-05,SC-08,8,restore-ventilation,set-fuel-45,restore-ventilation,24.76,16.52,0,43.1,96.7,499.6,2.82,0.46,65.7,72.1,343.7,9.4,4.59,0.069,True,True,True,True,NORMAL
synthetic-00204,operator-11,SC-05,10,protect-K2,set-fuel-45,protect-K2,19.87,10.34,0,32.0,98.3,425.0,3.09,0.43,72.9,46.8,306.4,0.7,3.31,0.103,True,True,True,True,NORMAL
synthetic-00371,operator-21,SC-07,6,protect-K1,alarm-K1-high,protect-K1,98.73,81.83,0,54.3,96.2,502.6,2.39,0.62,48.5,48.8,353.4,28.1,4.89,0.087,True,True,True,False,RESPONSE_TIME_ERROR
synthetic-00562,operator-14,SC-12,8,set-fuel,check-alarm,set-fuel-45,16.4,24.11,0,82.9,96.0,315.1,3.1,0.5,48.7,50.6,384.5,11.5,4.81,0.063,True,True,True,True,PARAMETER_ERROR
synthetic-00791,operator-15,SC-08,6,disable-ventilation,restore-cooling,restore-ventilation,20.41,7.2,0,46.2,95.4,439.6,1.86,0.69,64.1,49.1,330.9,27.1,3.67,0.145,True,True,True,False,CRITICAL_OPERATION_ERROR
synthetic-00808,operator-14,SC-05,6,set-fuel,restore-cooling,protect-K2,9.98,20.87,0,75.8,96.2,512.1,2.37,0.38,59.5,8.8,320.8,6.5,2.35,0.124,True,True,True,True,CRITICAL_OPERATION_ERROR
synthetic-00238,operator-20,SC-05,11,start-N1,check-alarm,open-L1,23.19,16.54,0,22.6,21.8,170.5,3.19,0.42,42.7,36.9,321.4,11.8,3.17,0.073,True,True,True,True,SEQUENCE_ERROR
synthetic-00729,operator-02,SC-10,3,start-N1,check-alarm,restore-utility-or-prepare-equipment,16.48,16.26,0,21.1,39.4,818.9,2.21,0.47,44.8,41.7,331.6,1.8,4.51,0.093,True,True,True,True,EQUIPMENT_NOT_READY
synthetic-00786,operator-01,SC-01,5,set-fuel,start-N1,protect-K2,8.46,22.17,0,81.9,96.6,678.4,2.92,0.6,53.4,9.9,317.0,8.5,2.48,0.082,True,True,True,True,CRITICAL_OPERATION_ERROR
synthetic-00393,operator-08,SC-01,2,protect-K2,alarm-K1-high,protect-K1,80.38,65.86,0,51.3,97.2,836.1,2.3,0.62,54.6,44.4,303.5,22.4,3.11,0.111,True,True,True,False,RESPONSE_TIME_ERROR
synthetic-00488,operator-11,SC-06,9,restore-cooling,restore-cooling,check-process-state,18.84,1.87,5,29.9,99.9,870.8,2.98,0.48,42.5,55.2,348.1,11.3,4.76,0.115,True,True,True,True,DUPLICATE_COMMAND
synthetic-00530,operator-05,SC-10,2,restore-cooling,restore-cooling,check-process-state,9.57,1.94,3,30.4,98.5,522.8,1.98,0.62,35.1,67.4,350.3,1.7,2.68,0.134,True,True,True,True,DUPLICATE_COMMAND
synthetic-00408,operator-02,SC-06,12,toggle-electric-field,alarm-K1-high,protect-K1,109.32,120.65,0,25.6,97.6,608.9,4.69,0.71,39.5,68.3,326.9,1.3,2.83,0.106,True,True,False,True,RESPONSE_TIME_ERROR
synthetic-00047,operator-09,SC-01,8,protect-K1,check-alarm,protect-K1,26.04,2.73,0,34.2,95.1,831.0,1.95,0.35,56.9,44.2,341.1,6.4,2.93,0.065,True,True,True,True,NORMAL
synthetic-00162,operator-20,SC-13,1,restore-ventilation,check-alarm,restore-ventilation,7.57,24.99,0,41.5,95.1,805.1,1.86,0.37,68.2,67.6,349.9,3.9,2.96,0.116,True,True,True,True,NORMAL
synthetic-00701,operator-13,SC-07,6,start-N2,open-L1,restore-utility-or-prepare-equipment,9.11,19.09,0,54.2,95.9,708.8,2.38,0.42,54.0,36.5,313.3,1.5,2.72,0.041,False,True,True,True,EQUIPMENT_NOT_READY
synthetic-00467,operator-13,SC-08,1,toggle-electric-field,toggle-electric-field,check-process-state,6.47,1.81,2,32.7,97.1,695.8,2.69,0.69,62.6,59.9,345.8,4.1,3.92,0.045,True,True,True,True,DUPLICATE_COMMAND
synthetic-00031,operator-16,SC-01,9,start-N2,start-N1,start-N2,19.7,23.29,0,44.3,98.1,807.9,3.16,0.37,48.7,41.9,327.4,11.9,4.8,0.076,True,True,True,True,NORMAL
synthetic-00552,operator-11,SC-05,12,set-fuel,restore-cooling,set-fuel-45,6.18,9.76,0,76.8,99.9,342.9,2.43,0.55,36.6,69.4,381.5,4.1,3.41,0.107,True,True,True,True,PARAMETER_ERROR
synthetic-00725,operator-08,SC-12,11,set-fuel,start-N1,restore-utility-or-prepare-equipment,27.1,5.65,0,35.6,95.5,439.7,2.41,0.69,37.2,70.0,316.6,11.8,4.76,0.126,False,True,True,True,EQUIPMENT_NOT_READY
synthetic-00415,operator-14,SC-06,4,restore-ventilation,alarm-K1-high,protect-K1,129.76,111.91,0,34.5,95.9,656.5,4.33,0.66,50.5,48.8,345.4,6.6,4.12,0.118,True,True,False,True,RESPONSE_TIME_ERROR
synthetic-00616,operator-19,SC-07,12,set-fuel,set-fuel-45,set-fuel-45,16.68,9.5,0,91.4,99.0,265.4,1.81,0.73,45.2,54.0,377.8,3.2,3.48,0.078,True,True,True,True,PARAMETER_ERROR
synthetic-00612,operator-10,SC-05,2,set-fuel,open-L1,set-fuel-45,13.13,23.0,0,87.8,95.6,248.1,2.63,0.45,54.9,71.8,414.8,2.8,3.54,0.141,True,True,True,True,PARAMETER_ERROR
synthetic-00084,operator-05,SC-12,11,protect-K2,check-alarm,protect-K2,12.45,9.47,0,29.7,97.4,479.3,2.52,0.64,43.4,54.6,345.5,7.8,4.09,0.124,True,True,True,True,NORMAL
synthetic-00531,operator-06,SC-14,7,set-fuel-45,set-fuel-45,check-process-state,9.54,1.72,2,50.7,96.2,804.1,3.09,0.56,44.2,61.4,340.0,3.4,3.29,0.049,True,True,True,True,DUPLICATE_COMMAND
synthetic-00669,operator-10,SC-12,8,set-fuel,restore-cooling,restore-utility-or-prepare-equipment,6.87,15.29,0,50.4,99.9,546.2,2.38,0.68,41.8,38.9,306.2,10.8,3.43,0.093,False,True,True,True,EQUIPMENT_NOT_READY
synthetic-00113,operator-01,SC-06,10,start-N2,open-L1,start-N2,19.29,23.73,0,21.3,99.3,855.3,1.89,0.75,69.3,67.9,328.1,8.7,4.62,0.066,True,True,True,True,NORMAL
synthetic-00269,operator-23,SC-06,8,start-N1,check-alarm,open-L1,26.0,19.01,0,32.6,66.7,188.8,1.8,0.38,57.5,67.5,334.6,8.9,2.96,0.086,True,True,True,True,SEQUENCE_ERROR
synthetic-00748,operator-05,SC-01,4,start-N1,check-alarm,restore-utility-or-prepare-equipment,25.24,21.88,0,49.3,98.6,459.1,2.88,0.56,50.9,64.0,306.4,8.0,2.97,0.051,False,True,True,True,EQUIPMENT_NOT_READY
synthetic-00428,operator-01,SC-13,3,start-N1,alarm-K1-high,restore-cooling,121.41,80.42,0,26.8,95.8,775.7,4.46,0.57,51.0,56.6,343.0,4.9,4.48,0.149,True,True,False,True,RESPONSE_TIME_ERROR
synthetic-00139,operator-21,SC-10,6,restore-ventilation,set-fuel-45,restore-ventilation,7.56,11.43,0,52.9,97.7,608.8,2.46,0.66,48.8,59.3,303.5,6.5,4.6,0.133,True,True,True,True,NORMAL
synthetic-00449,operator-15,SC-07,3,start-N2,alarm-K1-high,cut-fuel,116.93,138.0,0,30.7,98.1,862.5,4.56,0.68,55.8,72.6,337.0,7.5,2.77,0.109,True,True,False,True,RESPONSE_TIME_ERROR
synthetic-00341,operator-06,SC-06,4,restore-cooling,alarm-K1-high,cut-fuel,86.85,101.45,0,35.2,99.4,880.8,4.16,0.76,46.1,67.7,354.3,1.5,4.02,0.095,True,True,False,True,RESPONSE_TIME_ERROR
synthetic-00601,operator-19,SC-12,4,set-fuel,check-alarm,set-fuel-45,4.26,9.06,0,72.3,98.4,323.8,2.07,0.48,49.8,73.0,390.3,6.9,2.55,0.133,True,True,True,True,PARAMETER_ERROR
synthetic-00128,operator-08,SC-06,11,start-N2,open-L1,start-N2,12.46,5.26,0,33.1,96.1,583.7,2.06,0.63,49.6,45.5,333.3,10.7,4.38,0.116,True,True,True,True,NORMAL
synthetic-00428,operator-03,SC-14,9,restore-cooling,alarm-K1-high,cut-fuel,144.79,87.55,0,25.1,96.3,783.5,4.09,0.49,57.4,55.5,335.1,5.5,2.5,0.149,True,True,False,True,RESPONSE_TIME_ERROR
synthetic-00232,operator-06,SC-14,12,start-N1,drain-E1,open-L1,10.61,7.99,0,22.0,66.9,232.9,3.19,0.72,61.6,48.8,304.0,7.9,3.8,0.09,True,True,True,True,SEQUENCE_ERROR
synthetic-00435,operator-15,SC-07,8,start-N2,alarm-K1-high,restore-cooling,147.18,140.41,0,38.4,96.7,822.2,4.52,0.65,40.6,56.3,310.0,1.3,4.55,0.063,True,True,False,True,RESPONSE_TIME_ERROR
synthetic-00493,operator-16,SC-14,4,set-fuel-45,set-fuel-45,check-process-state,7.15,1.5,2,44.1,98.5,782.7,2.34,0.59,45.2,65.8,353.6,4.7,3.77,0.049,True,True,True,True,DUPLICATE_COMMAND
synthetic-00417,operator-21,SC-06,3,protect-K2,alarm-K1-high,protect-K1,101.03,102.31,0,39.9,96.4,693.6,4.63,0.43,65.0,62.5,350.1,0.2,2.68,0.062,True,True,False,True,RESPONSE_TIME_ERROR
synthetic-00043,operator-08,SC-10,7,start-N2,open-L1,start-N2,9.75,8.32,0,23.3,95.9,453.9,1.99,0.39,50.4,67.8,305.6,3.9,2.24,0.06,True,True,True,True,NORMAL
synthetic-00471,operator-08,SC-14,8,start-N1,start-N1,check-process-state,17.46,2.05,4,53.4,96.4,476.3,1.85,0.68,45.1,70.8,314.8,3.8,4.14,0.114,True,True,True,True,DUPLICATE_COMMAND
synthetic-00364,operator-10,SC-13,3,protect-K1,alarm-K1-high,restore-cooling,76.07,103.46,0,41.4,98.4,572.5,4.66,0.75,40.6,35.4,328.0,11.0,2.99,0.076,True,True,False,True,RESPONSE_TIME_ERROR
synthetic-00225,operator-03,SC-14,3,start-N1,drain-E1,open-L1,14.55,3.02,0,46.3,38.9,221.0,3.16,0.36,64.9,55.1,325.2,10.8,2.05,0.148,True,True,True,True,SEQUENCE_ERROR
synthetic-00824,operator-05,SC-14,2,set-fuel,check-alarm,restore-circulation-and-reduce-fuel,21.68,24.43,0,99.0,99.5,127.4,1.81,0.52,43.7,38.1,423.0,5.3,3.98,0.142,True,True,True,True,CRITICAL_OPERATION_ERROR
synthetic-00612,operator-15,SC-05,1,set-fuel,restore-cooling,set-fuel-45,18.41,11.76,0,99.1,99.5,287.2,2.3,0.75,57.2,35.7,380.1,3.8,4.1,0.146,True,True,True,True,PARAMETER_ERROR
synthetic-00095,operator-22,SC-08,11,restore-ventilation,start-N1,restore-ventilation,19.8,14.15,0,27.3,96.6,475.2,2.84,0.6,51.0,52.7,339.2,3.3,4.04,0.06,True,True,True,True,NORMAL
synthetic-00268,operator-17,SC-14,2,start-N1,set-fuel-70,open-L1,19.59,7.73,0,48.2,35.1,278.3,3.13,0.41,45.8,46.4,325.7,7.7,3.16,0.127,True,True,True,True,SEQUENCE_ERROR
synthetic-00013,operator-05,SC-13,7,protect-K2,start-N1,protect-K2,14.48,20.22,0,24.1,95.6,529.2,1.86,0.61,48.3,63.4,353.8,1.2,2.94,0.086,True,True,True,True,NORMAL
synthetic-00588,operator-17,SC-01,6,set-fuel,restore-cooling,set-fuel-45,27.54,2.4,0,95.3,95.6,148.4,4.27,0.65,44.3,63.7,388.2,1.5,2.89,0.08,True,True,True,True,PARAMETER_ERROR
synthetic-00049,operator-11,SC-10,10,protect-K2,set-fuel-45,protect-K2,10.46,13.68,0,46.6,95.7,605.1,2.27,0.54,60.9,68.0,311.4,5.5,3.12,0.052,True,True,True,True,NORMAL
synthetic-00732,operator-18,SC-05,5,start-N2,check-alarm,restore-utility-or-prepare-equipment,17.08,3.15,0,48.3,96.6,761.8,3.97,0.52,50.4,67.3,329.8,11.0,4.48,0.082,True,True,False,True,EQUIPMENT_NOT_READY
synthetic-00248,operator-04,SC-08,12,start-N1,drain-E1,open-L1,7.48,3.41,0,45.2,66.5,164.9,2.33,0.58,36.1,68.7,313.0,0.1,3.41,0.059,True,True,True,True,SEQUENCE_ERROR
synthetic-00357,operator-02,SC-01,10,start-N2,alarm-K1-high,restore-cooling,97.01,82.06,0,46.1,95.1,559.4,2.79,0.77,71.3,41.2,353.3,19.1,3.08,0.112,True,True,True,False,RESPONSE_TIME_ERROR
